Rank,Title,Website,Employees,Sector,Industry,Hqlocation,Hqaddr,Hqcity,Hqstate,Hqzip,Hqtel,Ceo,Ceo-title,Address,Ticker,Fullname,Revenues,Revchange,Profits,Prftchange,Assets,Totshequity
15,Cardinal Health,http://www.cardinalhealth.com,37300,Wholesalers,Wholesalers: Health Care,"Dublin, OH",7000 Cardinal Place,Dublin,OH,43017,614-757-5000,George S. Barrett,Chairman & Chief Executive Officer,"7000 Cardinal Place, Dublin, OH 43017",CAH,"Cardinal Health, Inc.",121546,18.5,1427,17.4,34122,6554
16,Costco,http://www.costco.com,172000,Retailing,General Merchandisers,"Issaquah, WA",999 Lake Dr.,Issaquah,WA,98027,425-313-8100,W. Craig Jelinek,"President, Chief Executive Officer & Director","999 Lake Dr., Issaquah, WA 98027",COST,Costco Wholesale Corporation,118719,2.2,2350,-1.1,33163,12079
17,Walgreens Boots Alliance,http://www.walgreensbootsalliance.com,300000,Food & Drug Stores,Food and Drug Stores,"Deerfield, IL",108 Wilmot Rd.,Deerfield,IL,60015,847-315-2500,Stefano Pessina,"President, Chief Executive Officer & Director","108 Wilmot Rd., Deerfield, IL 60015",WBA,"Walgreens Boots Alliance, Inc",117351,13.4,4173,-1.1,72688,29880
18,Kroger,http://www.thekrogerco.com,443000,Food & Drug Stores,Food and Drug Stores,"Cincinnati, OH",1014 Vine St.,Cincinnati,OH,45202,513-762-4000,W. Rodney McMullen,Chairman & Chief Executive Officer,"1014 Vine St., Cincinnati, OH 45202",KR,The Kroger Company,115337,5,1975,-3.1,36505,6698
19,Chevron,http://www.chevron.com,55200,Energy,Petroleum Refining,"San Ramon, CA",6001 Bollinger Canyon Rd.,San Ramon,CA,94583,925-842-1000,John S. Watson,Chairman & Chief Executive Officer,"6001 Bollinger Canyon Rd., San Ramon, CA 94583",CVX,Chevron Corporation,107567,-18,-497,-110.8,260078,145556
20,Fannie Mae,http://www.fanniemae.com,7000,Financials,Diversified Financials,"Washington, DC",3900 Wisconsin Ave. N.W.,Washington,DC,20016,800-232-6643,Timothy J. Mayopoulos,"President, Chief Executive Officer & Director","3900 Wisconsin Ave. N.W., Washington, DC 20016",FNMA,Fannie Mae,107162,-2.9,12313,12.4,3287968,6071
21,J.P. Morgan Chase,http://www.jpmorganchase.com,243355,Financials,Commercial Banks,"New York, NY",270 Park Ave.,New York,NY,10017,212-270-6000,James Dimon,"Chairman, President & Chief Executive Officer","270 Park Ave., New York, NY 10017",JPM,JPMorgan Chase & Co.,105486,4.4,24733,1.2,2490972,254190
22,Express Scripts Holding,http://www.express-scripts.com,25600,Health Care,Health Care: Pharmacy and Other Services,"St. Louis, MO",1 Express Way,St. Louis,MO,63121,314-996-0900,Timothy C. Wentworth,"President, Chief Executive Officer & Director","1 Express Way, St. Louis, MO 63121",ESRX,Express Scripts Holding Company,100288,-1.4,3404.4,37.5,51745,16236
23,Home Depot,http://www.homedepot.com,406000,Retailing,Specialty Retailers: Other,"Atlanta, GA",2455 Paces Ferry Rd.,Atlanta,GA,30339,770-433-8211,Craig A. Menear,"Chairman, President & Chief Executive Officer","2455 Paces Ferry Rd., Atlanta, GA 30339",HD,"The Home Depot, Inc.",94595,6.9,7957,13.5,42966,4333
24,Boeing,http://www.boeing.com,150540,Aerospace & Defense,Aerospace and Defense,"Chicago, IL",100 N. Riverside Plaza,Chicago,IL,60606,312-544-2000,Dennis A. Muilenburg,"Chairman, President & Chief Executive Officer","100 N. Riverside Plaza, Chicago, IL 60606",BA,The Boeing Company,94571,-1.6,4895,-5.4,89997,817
25,Wells Fargo,http://www.wellsfargo.com,269100,Financials,Commercial Banks,"San Francisco, CA",420 Montgomery St.,San Francisco,CA,94163,866-878-5865,Timothy J. Sloan,"President, Chief Executive Officer & Director","420 Montgomery St., San Francisco, CA 94163",WFC,Wells Fargo & Company,94176,4.6,21938,-4.2,1930115,199581
26,Bank of America Corp.,http://www.bankofamerica.com,208024,Financials,Commercial Banks,"Charlotte, NC",100 N. Tryon St.,Charlotte,NC,28255,704-386-5681,Brian T. Moynihan,"Chairman, President & Chief Executive Officer","100 N. Tryon St., Charlotte, NC 28255",BAC,Bank of America Corporation,93662,0.7,17906,12.7,2187702,266840
27,Alphabet,http://www.abc.xyz,72053,Technology,Internet Services and Retailing,"Mountain View, CA",1600 Amphitheatre Pkwy.,Mountain View,CA,94043,650-253-0000,Larry Page,Chief Executive Officer & Director,"1600 Amphitheatre Pkwy., Mountain View, CA 94043",GOOGL,Alphabet Inc.,90272,20.4,19478,19.1,167497,139036
28,Microsoft,http://www.microsoft.com,114000,Technology,Computer Software,"Redmond, WA",1 Microsoft Way,Redmond,WA,98052,425-882-8080,Satya Nadella,Chief Executive Officer & Director,"1 Microsoft Way, Redmond, WA 98052",MSFT,Microsoft Corporation,85320,-8.8,16798,37.8,193694,71997
29,Anthem,http://www.antheminc.com,53000,Health Care,Health Care: Insurance and Managed Care,"Indianapolis, IN",120 Monument Circle,Indianapolis,IN,46204,317-488-6000,Joseph R. Swedish,"Chairman, President & Chief Executive Officer","120 Monument Circle, Indianapolis, IN 46204",ANTM,"Anthem, Inc.",84863,7.2,2469.8,-3.5,65083,25100
30,Citigroup,http://www.citigroup.com,219000,Financials,Commercial Banks,"New York, NY",388 Greenwich St.,New York,NY,10013,212-559-1000,Michael L. Corbat,Chief Executive Officer & Director,"388 Greenwich St., New York, NY 10013",C,Citigroup Inc.,82386,-6.7,14912,-13.5,1792077,225120
31,Comcast,http://www.comcastcorporation.com,159000,Telecommunications,Telecommunications,"Philadelphia, PA",1 Comcast Center,Philadelphia,PA,19103,215-286-1700,Brian L. Roberts,"Chairman, President & Chief Executive Officer","1 Comcast Center, Philadelphia, PA 19103",CMCSA,Comcast Corporation,80403,7.9,8695,6.5,180500,53943
32,IBM,http://www.ibm.com,414400,Technology,Information Technology Services,"Armonk, NY",1 New Orchard Rd.,Armonk,NY,10504,914-499-1900,Virginia M. Rometty,"Chairman, President & Chief Executive Officer","1 New Orchard Rd., Armonk, NY 10504",IBM,International Business Machines Corporation,79919,-3.1,11872,-10,117470,18246
33,State Farm Insurance Cos.,http://www.statefarm.com,68234,Financials,Insurance: Property and Casualty (Mutual),"Bloomington, IL",1 State Farm Plaza,Bloomington,IL,61710,309-766-2311,Michael L. Tipsord,Chief Executive Officer & Director,"1 State Farm Plaza, Bloomington, IL 61710",IBM,State Farm Insurance Cos.,76132,0.6,350.3,-94.4,256030,87592
34,Phillips 66,http://www.phillips66.com,14800,Energy,Petroleum Refining,"Houston, TX",2331 CityWest Blvd.,Houston,TX,77042,281-293-6600,Greg C. Garland,Chairman & Chief Executive Officer,"2331 CityWest Blvd., Houston, TX 77042",PSX,Phillips 66,72396,-16.9,1555,-63.2,51653,22390
35,Johnson & Johnson,http://www.jnj.com,126400,Health Care,Pharmaceuticals,"New Brunswick, NJ",1 Johnson & Johnson Plaza,New Brunswick,NJ,8933,732-524-0400,Alex Gorsky,Chairman & Chief Executive Officer,"1 Johnson & Johnson Plaza, New Brunswick, NJ 08933",JNJ,Johnson & Johnson,71890,2.6,16540,7.3,141208,70418
36,Procter & Gamble,http://www.pg.com,105000,Household Products,Household and Personal Products,"Cincinnati, OH",1 Procter & Gamble Plaza,Cincinnati,OH,45202,513-983-1100,David S. Taylor,"Chairman, President & Chief Executive Officer","1 Procter & Gamble Plaza, Cincinnati, OH 45202",PG,The Procter & Gamble Company,71726,-8.9,10508,49.3,127136,57341
37,Valero Energy,http://www.valero.com,9996,Energy,Petroleum Refining,"San Antonio, TX",1 Valero Way,San Antonio,TX,78249,210-345-2000,Joseph W. Gorder,"Chairman, President & Chief Executive Officer","1 Valero Way, San Antonio, TX 78249",VLO,Valero Energy Corporation,70166,-14.2,2289,-42.6,46173,20024
38,Target,http://www.target.com,323000,Retailing,General Merchandisers,"Minneapolis, MN",1000 Nicollet Mall,Minneapolis,MN,55403,612-304-6073,Brian C. Cornell,Chairman & Chief Executive Officer,"1000 Nicollet Mall, Minneapolis, MN 55403",TGT,Target Corporation,69495,-5.8,2737,-18.6,37431,10953
39,Freddie Mac,http://www.freddiemac.com,5982,Financials,Diversified Financials,"McLean, VA",8200 Jones Branch Dr.,McLean,VA,22102,703-903-2000,Donald H. Layton,Chief Executive Officer & Director,"8200 Jones Branch Dr., McLean, VA 22102",FMCC,Freddie Mac,65665,3.4,7815,22.6,2023376,5075
40,Lowe’s,http://www.lowes.com,240000,Retailing,Specialty Retailers: Other,"Mooresville, NC",1000 Lowe's Blvd.,Mooresville,NC,28117,704-758-1000,Robert A. Niblock,"Chairman, President & Chief Executive Officer","1000 Lowe's Blvd., Mooresville, NC 28117",LOW,"Lowe's Companies, Inc.",65017,10.1,3093,21.5,34408,6434
41,Dell Technologies,http://www.delltechnologies.com,138000,Technology,"Computers, Office Equipment","Round Rock, TX",1 Dell Way,Round Rock,TX,78682,800-289-3355,Michael S. Dell,Chairman & Chief Executive Officer,"1 Dell Way, Round Rock, TX 78682",LOW,Dell Technologies Inc.,64806,18.1,-1672,21.5,118206,13243
42,MetLife,http://www.metlife.com,58000,Financials,"Insurance: Life, Health (Stock)","New York, NY",200 Park Ave.,New York,NY,10166,212-578-2211,Steven A. Kandarian,"Chairman, President & Chief Executive Officer","200 Park Ave., New York, NY 10166",MET,"MetLife, Inc.",63476,-9.3,800,-84.9,898764,67309
43,Aetna,http://www.aetna.com,49500,Health Care,Health Care: Insurance and Managed Care,"Hartford, CT",151 Farmington Ave.,Hartford,CT,6156,860-273-0123,Mark T. Bertolini,Chairman & Chief Executive Officer,"151 Farmington Ave., Hartford, CT 06156",AET,Aetna Inc.,63155,4.7,2271,-5,69146,17881
44,PepsiCo,http://www.pepsico.com,264000,"Food, Beverages & Tobacco",Food Consumer Products,"Purchase, NY",700 Anderson Hill Rd.,Purchase,NY,10577,914-253-2000,Indra K. Nooyi,Chairman & Chief Executive Officer,"700 Anderson Hill Rd., Purchase, NY 10577",PEP,"PepsiCo, Inc.",62799,-0.4,6329,16.1,74129,11095
45,Archer Daniels Midland,http://www.adm.com,31800,"Food, Beverages & Tobacco",Food Production,"Chicago, IL",77 W. Wacker Dr.,Chicago,IL,60601,312-634-8100,Juan R. Luciano,"Chairman, President & Chief Executive Officer","77 W. Wacker Dr., Chicago, IL 60601",ADM,Archer-Daniels-Midland Company,62346,-7.9,1279,-30.8,39769,17173
46,UPS,http://www.ups.com,335520,Transportation,"Mail, Package, and Freight Delivery","Atlanta, GA",55 Glenlake Pkwy. N.E.,Atlanta,GA,30328,404-828-6000,David P. Abney,Chairman & Chief Executive Officer,"55 Glenlake Pkwy. N.E., Atlanta, GA 30328",UPS,"United Parcel Service, Inc.",60906,4.4,3431,-29.2,40377,405
47,Intel,http://www.intel.com,106000,Technology,Semiconductors and Other Electronic Components,"Santa Clara, CA",2200 Mission College Blvd.,Santa Clara,CA,95054,408-765-8080,Brian M. Krzanich,Chief Executive Officer & Director,"2200 Mission College Blvd., Santa Clara, CA 95054",INTC,Intel Corporation,59387,7.3,10316,-9.7,113327,66226
48,Prudential Financial,http://www.prudential.com,49739,Financials,"Insurance: Life, Health (Stock)","Newark, NJ",751 Broad St.,Newark,NJ,7102,973-802-6000,John R. Strangfeld,Chairman & Chief Executive Officer,"751 Broad St., Newark, NJ 07102",PRU,"Prudential Financial, Inc.",58779,2.9,4368,-22.6,783962,45863
49,Albertsons Cos.,http://www.albertsons.com,274000,Food & Drug Stores,Food and Drug Stores,"Boise, ID",250 Parkcenter Blvd.,Boise,ID,83706,208-395-6200,Robert G. Miller,Chairman & Chief Executive Officer,"250 Parkcenter Blvd., Boise, ID 83706",PRU,"Albertsons Companies, Inc.",58734,115.9,-502.2,-22.6,23770,1613
50,United Technologies,http://www.utc.com,201600,Aerospace & Defense,Aerospace and Defense,"Farmington, CT",10 Farm Springs Rd.,Farmington,CT,6032,860-728-7000,Gregory J. Hayes,"Chairman, President & Chief Executive Officer","10 Farm Springs Rd., Farmington, CT 06032",UTX,United Technologies Corporation,57244,-6.2,5055,-33.6,89706,27579
51,Marathon Petroleum,http://www.marathonpetroleum.com,44460,Energy,Petroleum Refining,"Findlay, OH",539 S. Main St.,Findlay,OH,45840,419-422-2121,Gary R. Heminger,"Chairman, President & Chief Executive Officer","539 S. Main St., Findlay, OH 45840",MPC,Marathon Petroleum Corporation,55858,-13.5,1174,-58.8,44413,13557
52,Disney,http://www.disney.com,195000,Media,Entertainment,"Burbank, CA",500 S. Buena Vista St.,Burbank,CA,91521,818-560-1000,Robert A. Iger,Chairman & Chief Executive Officer,"500 S. Buena Vista St., Burbank, CA 91521",DIS,The Walt Disney Company,55632,6,9391,12,92033,43265
53,Humana,http://www.humana.com,51600,Health Care,Health Care: Insurance and Managed Care,"Louisville, KY",500 W. Main St.,Louisville,KY,40202,502-580-1000,Bruce D. Broussard,"President, Chief Executive Officer & Director","500 W. Main St., Louisville, KY 40202",HUM,Humana Inc.,54379,0.2,614,-51.9,25396,10685
54,Pfizer,http://www.pfizer.com,96500,Health Care,Pharmaceuticals,"New York, NY",235 E. 42nd St.,New York,NY,10017,212-733-2323,Ian C. Read,Chairman & Chief Executive Officer,"235 E. 42nd St., New York, NY 10017",PFE,Pfizer Inc.,52824,8.1,7215,3.7,171615,59544
55,AIG,http://www.aig.com,56400,Financials,Insurance: Property and Casualty (Stock),"New York, NY",175 Water St.,New York,NY,10038,212-770-7000,Brian Duperreault,"President, Chief Executive Officer & Director","175 Water St., New York, NY 10038",AIG,"American International Group, Inc.",52367,-10.2,-849,-138.7,498264,76300
56,Lockheed Martin,http://www.lockheedmartin.com,97000,Aerospace & Defense,Aerospace and Defense,"Bethesda, MD",6801 Rockledge Dr.,Bethesda,MD,20817,301-897-6000,Marillyn A. Hewson,"Chairman, President & Chief Executive Officer","6801 Rockledge Dr., Bethesda, MD 20817",LMT,Lockheed Martin Corporation,50658,9.8,5302,47.1,47806,1511
57,Sysco,http://www.sysco.com,51900,Wholesalers,Wholesalers: Food and Grocery,"Houston, TX",1390 Enclave Pkwy.,Houston,TX,77077,281-584-1390,William J. DeLaney III,Chief Executive Officer & Director,"1390 Enclave Pkwy., Houston, TX 77077",SYY,Sysco Corporation,50367,3.5,949.6,38.3,16722,3480
58,FedEx,http://www.fedex.com,335767,Transportation,"Mail, Package, and Freight Delivery","Memphis, TN",942 S. Shady Grove Rd.,Memphis,TN,38120,901-818-7500,Frederick W. Smith,Chairman & Chief Executive Officer,"942 S. Shady Grove Rd., Memphis, TN 38120",FDX,FedEx Corporation,50365,6.1,1820,73.3,46064,13784
59,Hewlett Packard Enterprise,http://www.hpe.com,195000,Technology,Information Technology Services,"Palo Alto, CA",3000 Hanover St.,Palo Alto,CA,94304,650-857-1501,Margaret C. Whitman,"President, Chief Executive Officer & Director","3000 Hanover St., Palo Alto, CA 94304",HPE,Hewlett Packard Enterprise Company,50123,6.1,3161,73.3,79679,31448
60,Cisco Systems,http://www.cisco.com,73700,Technology,Network and Other Communications Equipment,"San Jose, CA",170 W. Tasman Dr.,San Jose,CA,95134,408-526-4000,Charles H. Robbins,Chief Executive Officer & Director,"170 W. Tasman Dr., San Jose, CA 95134",CSCO,"Cisco Systems, Inc.",49247,0.2,10739,19.6,121652,63586
61,HP,http://www.hp.com,49000,Technology,"Computers, Office Equipment","Palo Alto, CA",1501 Page Mill Rd.,Palo Alto,CA,94304,650-857-1501,Dion J. Weisler,"President, Chief Executive Officer & Director","1501 Page Mill Rd., Palo Alto, CA 94304",HPQ,HP Inc.,48238,-53.3,2496,-45.2,29010,-3889
62,Dow Chemical,http://www.dow.com,56000,Chemicals,Chemicals,"Midland, MI",2030 Dow Center,Midland,MI,48674,989-636-1000,Andrew N. Liveris,Chairman & Chief Executive Officer,"2030 Dow Center, Midland, MI 48674",DOW,The Dow Chemical Company,48158,-1.3,4318,-43.8,79511,25987
63,HCA Holdings,http://www.hcahealthcare.com,210500,Health Care,Health Care: Medical Facilities,"Nashville, TN",1 Park Plaza,Nashville,TN,37203,615-344-9551,R. Milton Johnson,Chairman & Chief Executive Officer,"1 Park Plaza, Nashville, TN 37203",HCA,"HCA Holdings, Inc.",44747,2.7,2890,35.7,33758,-7302
64,Coca-Cola,http://www.coca-colacompany.com,100300,"Food, Beverages & Tobacco",Beverages,"Atlanta, GA",1 Coca-Cola Plaza,Atlanta,GA,30313,404-676-2121,James B. Quincey,"President, Chief Executive Officer & Director","1 Coca-Cola Plaza, Atlanta, GA 30313",KO,The Coca-Cola Company,41863,-5.5,6527,-11.2,87270,23062
65,New York Life Insurance,http://www.newyorklife.com,11320,Financials,"Insurance: Life, Health (Mutual)","New York, NY",51 Madison Ave.,New York,NY,10010,212-576-7000,Theodore A. Mathas,Chairman & Chief Executive Officer,"51 Madison Ave., New York, NY 10010",KO,New York Life Insurance Company,40787,-11.1,1088.1,324.1,287196,20108
66,Centene,http://www.centene.com,30500,Health Care,Health Care: Insurance and Managed Care,"St. Louis, MO",7700 Forsyth Blvd.,St. Louis,MO,63105,314-725-4477,Michael F. Neidorff,"Chairman, President & Chief Executive Officer","7700 Forsyth Blvd., St. Louis, MO 63105",CNC,Centene Corporation,40721,78.6,562,58.3,20197,5895
67,American Airlines Group,http://www.aa.com,122300,Transportation,Airlines,"Fort Worth, TX",4333 Amon Carter Blvd.,Fort Worth,TX,76155,817-963-1234,W. Douglas Parker,Chairman & Chief Executive Officer,"4333 Amon Carter Blvd., Fort Worth, TX 76155",AAL,American Airlines Group Inc.,40180,-2,2676,-64.8,51274,3785
68,Nationwide,http://www.nationwide.com,34320,Financials,Insurance: Property and Casualty (Mutual),"Columbus, OH",1 Nationwide Blvd.,Columbus,OH,43215,800-882-2822,Stephen S. Rasmussen,Chief Executive Officer & Director,"1 Nationwide Blvd., Columbus, OH 43215",AAL,Nationwide Mutual Insurance Co.,40074,-0.4,334.3,-42.4,197790,15537
69,Merck,http://www.merck.com,68000,Health Care,Pharmaceuticals,"Kenilworth, NJ",2000 Galloping Hill Rd.,Kenilworth,NJ,7033,908-740-4000,Kenneth C. Frazier,"Chairman, President & Chief Executive Officer","2000 Galloping Hill Rd., Kenilworth, NJ 07033",MRK,"Merck & Co., Inc.",39807,0.8,3920,-11.8,95377,40088
70,Cigna,http://www.cigna.com,41000,Health Care,Health Care: Insurance and Managed Care,"Bloomfield, CT",900 Cottage Grove Rd.,Bloomfield,CT,6002,860-226-6000,David M. Cordani,"President, Chief Executive Officer & Director","900 Cottage Grove Rd., Bloomfield, CT 06002",CI,CIGNA Corporation,39668,4.7,1867,-10.8,59360,13723
71,Delta Air Lines,http://www.delta.com,83756,Transportation,Airlines,"Atlanta, GA",1030 Delta Blvd.,Atlanta,GA,30354,404-715-2600,Edward H. Bastian,Chief Executive Officer & Director,"1030 Delta Blvd., Atlanta, GA 30354",DAL,"Delta Air Lines, Inc.",39639,-2.6,4373,-3.4,51261,12287
72,Best Buy,http://www.bestbuy.com,125000,Retailing,Specialty Retailers: Other,"Richfield, MN",7601 Penn Ave. S.,Richfield,MN,55423,612-291-1000,Hubert B. Joly,Chairman & Chief Executive Officer,"7601 Penn Ave. S., Richfield, MN 55423",BBY,"Best Buy Co., Inc.",39403,-0.9,1228,36.9,13856,4709
73,Honeywell International,http://www.honeywell.com,131000,Industrials,"Electronics, Electrical Equipment","Morris Plains, NJ",115 Tabor Rd.,Morris Plains,NJ,7950,973-455-2000,Darius Adamczyk,"President, Chief Executive Officer & Director","115 Tabor Rd., Morris Plains, NJ 07950",HON,Honeywell International Inc.,39302,1.9,4809,0.9,54146,19369
74,Caterpillar,http://www.caterpillar.com,95400,Industrials,Construction and Farm Machinery,"Peoria, IL",100 N.E. Adams St.,Peoria,IL,61629,309-675-1000,D. James Umpleby III,Chief Executive Officer & Director,"100 N.E. Adams St., Peoria, IL 61629",CAT,Caterpillar Inc.,38537,-18,-67,-103.2,74704,13137
75,Liberty Mutual Insurance Group,http://www.libertymutual.com,50000,Financials,Insurance: Property and Casualty (Stock),"Boston, MA",175 Berkeley St.,Boston,MA,2116,617-357-9500,David H. Long,"Chairman, President & Chief Executive Officer","175 Berkeley St., Boston, MA 02116",CAT,Liberty Mutual Holding Company Inc.,38308,-2.9,1006,95.7,125592,20366
76,Morgan Stanley,http://www.morganstanley.com,55311,Financials,Commercial Banks,"New York, NY",1585 Broadway,New York,NY,10036,212-761-4000,James P. Gorman,Chairman & Chief Executive Officer,"1585 Broadway, New York, NY 10036",MS,Morgan Stanley,37949,0.1,5979,-2.4,814949,76050
77,Massachusetts Mutual Life Insurance,http://www.massmutual.com,11737,Financials,"Insurance: Life, Health (Mutual)","Springfield, MA",1295 State St.,Springfield,MA,1111,413-744-8411,Roger W. Crandall,"Chairman, President & Chief Executive Officer","1295 State St., Springfield, MA 01111",MS,Massachusetts Mutual Life Insurance Company,37788,-1.2,1273.5,-10.6,271040,15424
78,Goldman Sachs Group,http://www.gs.com,34400,Financials,Commercial Banks,"New York, NY",200 West St.,New York,NY,10282,212-902-1000,Lloyd C. Blankfein,Chairman & Chief Executive Officer,"200 West St., New York, NY 10282",GS,"The Goldman Sachs Group, Inc.",37712,-3.8,7398,21.6,860165,86893
79,Energy Transfer Equity,http://www.energytransfer.com,30992,Energy,Pipelines,"Dallas, TX",8111 Westchester Dr.,Dallas,TX,75225,214-981-0700,John W. McReynolds,"President, Chief Executive Officer & Director","8111 Westchester Dr., Dallas, TX 75225",ETE,"Energy Transfer Equity, L.P.",37504,-11,995,-16.3,79011,-1694
80,TIAA,http://www.tiaa.org,12997,Financials,"Insurance: Life, Health (Mutual)","New York, NY",730 Third Ave.,New York,NY,10017,212-490-9000,Roger W. Ferguson Jr.,"President, Chief Executive Officer & Director","730 Third Ave., New York, NY 10017",ETE,Teachers Insurance and Annuity Association,37105,5.5,1492.3,22.9,523194,35583
81,Oracle,http://www.oracle.com,136000,Technology,Computer Software,"Redwood City, CA",500 Oracle Pkwy.,Redwood City,CA,94065,650-506-7000,"Safra A. Catz, Mark V. Hurd",Co-Chief Executive Officer & Director,"500 Oracle Pkwy., Redwood City, CA 94065",ORCL,Oracle Corporation,37047,-3.1,8901,-10.4,112180,47289
82,Tyson Foods,http://www.tysonfoods.com,114000,"Food, Beverages & Tobacco",Food Production,"Springdale, AR",2200 W. Don Tyson Pkwy.,Springdale,AR,72762,479-290-4000,Thomas P. Hayes,"President, Chief Executive Officer & Director","2200 W. Don Tyson Pkwy., Springdale, AR 72762",TSN,"Tyson Foods, Inc.",36881,-10.9,1768,44.9,22373,9608
83,United Continental Holdings,http://www.unitedcontinentalholdings.com,88000,Transportation,Airlines,"Chicago, IL",233 S. Wacker Dr.,Chicago,IL,60606,872-825-4000,Oscar Munoz,Chief Executive Officer & Director,"233 S. Wacker Dr., Chicago, IL 60606",UAL,"United Continental Holdings, Inc.",36556,-3.5,2263,-69.2,40140,8659
