PasswordLength	DistinctPasswords	DistinctEmailDomain	DistinctEmails	TotalCount
535	1	1	1	1
538	1	1	1	1
553	1	1	1	1
566	1	1	1	1
574	1	1	1	1
581	1	1	1	1
601	1	1	1	1
607	2	2	2	2
646	1	1	1	1
666	1	1	1	1
796	1	1	1	1
959	1	1	1	1
998	1	1	1	1
1227	1	1	1	1
1704	1	1	1	1
1793	1	1	1	1
3986	1	1	1	1
3987	1	1	1	1
4103	1	1	1	1
5430	1	1	1	1
8199	1	1	1	1
15273	1	1	1	1
15288	2	2	2	2
15291	1	1	1	1
15305	2	2	2	2
